lat,lon,name,epidemic,suicide,combat,homicide,floods,population,wardeaths
33.93911,67.709953,Afghanistan,3845,1506,9.45,1729,3417,27294031,2579
41.153332,20.168331,Albania,7,238,0.1304,395,19,2947314,4
28.0339,1.6596,Algeria,1,1169,3.407,6847,1555,34860715,1188
42.5063,1.5218,Andorra,0,5,0,2,0,83861,0
-11.202692,17.873887,Angola,4680,1576,2.598,11443,266,21759420,565
17.0747,61.8175,Antigua and Barbuda,0,2,0,13,0,92478,0
-38.416097,-63.616672,Argentina,67,3586,0,5925,291,40382389,0
40.0691,45.0382,Armenia,0,121,0,212,5,2908220,0
-25.274398,133.775136,Australia,0,2168,0,537,194,21249200,0
47.5162,14.5501,Austria,0,1465,0,138,38,8321496,0
40.1431,47.5769,Azerbaijan,0,107,0.0726,479,16,8763400,6
23.0343,-77.3963,Bahamas,0,11,0,138,0,348676,0
26.0667,50.5577,Bahrain,0,35,0,16,0,1114590,0
23.684994,90.356331,Bangladesh,10188,18963,0.1651,22411,41771,148805814,246
13.1939,-59.5432,Barbados,0,10,0,67,3,277319,0
53.7098,27.9534,Belarus,0,3535,0,2300,2,9527985,0
50.5039,4.4699,Belgium,0,2101,0,336,3,10709973,0
17.1899,-88.4976,Belize,0,23,0,93,1,306165,0
9.3077,2.3158,Benin,0,316,0,1705,123,8696916,0
27.5142,90.433601,Bhutan,41,84,0,124,222,700950,0
-19.2902,-63.5887,Bolivia,0,163,0,680,806,9599855,0
43.915886,17.679076,Bosnia and Herzegovina,0,513,1.211,157,0,3763599,46
-22.328474,24.684866,Botswana,653,132,0,499,31,1946351,0
-14.235,-51.9253,Brazil,0,9851,0,114766,3902,192979029,0
4.5353,114.7277,Brunei,0,6,0,9,0,379252,0
42.7339,25.4858,Bulgaria,0,1068,0.023,473,52,7492561,2
12.238333,-1.561593,Burkina Faso,14900,723,0,4106,102,14689726,0
-3.373056,29.918886,Burundi,776,698,39.062,3866,48,8212264,3208
-0.789275,104.990963,Cambodia,788,615,1.127,4894,1127,13880509,156
7.369722,12.354722,Cameroon,2698,867,0,4503,86,18907008,0
56.130366,-106.346771,Canada,81,3830,0.0035,901,37,33245773,1
16.002082,-24.013197,Cape Verde,245,19,0,63,23,491723,0
6.611,20.9394,Central African Republic,0,372,29.8534,2100,12,4345386,1297
15.454166,18.732207,Chad,5974,529,2.227,2830,251,11133861,248
-35.675147,-71.542969,Chile,1,1747,0,1722,440,16661942,0
35.86166,104.195397,China,1498,222211,0,66531,37684,1324655000,0
4.570868,-74.297333,Colombia,412,3509,19.988,68119,2246,44901544,8975
-11.875001,43.872219,Comoros,86,0,0,128,0,657229,0
-4.038333,21.758664,Congo [DRC],8019,5205,0,30962,203,60373608,0
-0.228021,15.827659,Congo [Republic],384,213,0,1253,9,4115435,0
9.748917,-83.753428,Costa Rica,0,352,0,543,103,4429508,0
7.539989,-5.54708,Cote d'Ivoire,715,2614,24.188,14061,34,19497986,4716
45.1,15.2,Croatia,0,906,0.206,171,0,4434508,9
21.521757,-77.781167,Cuba,3,1589,0,1280,114,11309754,0
35.126413,33.429859,Cyprus,0,5,0,4,0,1081563,0
49.817492,15.472962,Czech Republic,0,1732,0,272,61,10384603,0
56.26392,9.501785,Denmark,0,773,0.0234,108,0,5493621,1
11.825138,42.590275,Djibouti,86,37,0.16745,51,0,822934,1
15.414999,-61.370976,Dominica,0,4,0,11,0,71074,0
